id,class,class_area_m2,total_area_m2,prop_area,method
angle_202.5_dist_125,barren,37.15714699550907,1106.0430551462964,0.033594665978526755,manual
angle_202.5_dist_125,bulrush,953.5884215609768,1106.0430551462964,0.8621621166771357,manual
angle_202.5_dist_125,hordeum,115.29748658981065,1106.0430551462964,0.10424321734433768,manual
angle_202.5_dist_150,bulrush,1349.47499513111,1349.47499513111,1,manual
angle_202.5_dist_25,island,123.45892752064901,123.45892752064901,1,manual
angle_202.5_dist_50,bulrush,104.69308479979279,369.10707466677604,0.2836387920613768,manual
angle_202.5_dist_50,island,264.41398986698323,369.10707466677604,0.7163612079386231,manual
angle_202.5_dist_75,bulrush,614.7501452375894,614.7501452375894,1,manual
angle_22.5_dist_100,bulrush,805.6987573206872,860.7406791861987,0.9360528400754199,manual
angle_22.5_dist_100,hordeum,55.04192186551154,860.7406791861987,0.0639471599245801,manual
angle_22.5_dist_125,bulrush,949.2812294296748,1106.3882622684046,0.8580000907487788,manual
angle_22.5_dist_125,hordeum,157.10703283872988,1106.3882622684046,0.1419999092512213,manual
angle_22.5_dist_150,bulrush,1130.3587228252484,1350.521333711983,0.8369795386485266,manual
angle_22.5_dist_150,hordeum,220.16261088673465,1350.521333711983,0.1630204613514734,manual
angle_22.5_dist_25,island,123.80244245097428,123.80244245097428,1,manual
angle_22.5_dist_50,bulrush,194.60543850886708,358.1540813711074,0.5433567523895487,manual
angle_22.5_dist_50,island,163.5486428622403,358.1540813711074,0.4566432476104513,manual
angle_22.5_dist_75,bulrush,595.0857486842091,595.0857486842091,1,manual
angle_225_dist_100,barren,81.85695679612984,860.7418073140327,0.0951004774028191,manual
angle_225_dist_100,bulrush,385.52810365140755,860.7418073140327,0.4479021471658941,manual
angle_225_dist_100,hordeum,364.78465280949973,860.7418073140327,0.42380264291776387,manual
angle_225_dist_100,island,28.572094056995663,860.7418073140327,0.03319473251352299,manual
angle_225_dist_125,barren,282.5768482520126,1106.387698204467,0.25540490798171434,manual
angle_225_dist_125,bulrush,344.1568350722149,1106.387698204467,0.31106350480102024,manual
angle_225_dist_125,hordeum,479.6540148802394,1106.387698204467,0.4335315872172654,manual
angle_225_dist_150,barren,4.62024760968238,1349.8405085545066,0.003422810013777131,manual
angle_225_dist_150,bulrush,1311.9427456254712,1349.8405085545066,0.9719242660974675,manual
angle_225_dist_150,hordeum,33.2775153193531,1349.8405085545066,0.024652923888755375,manual
angle_225_dist_25,island,123.80187838704948,123.80187838704948,1,manual
angle_225_dist_50,bulrush,0.9103991749514532,369.4511536610307,0.0024641936178300293,manual
angle_225_dist_50,island,368.5407544860792,369.4511536610307,0.99753580638217,manual
angle_225_dist_75,bulrush,320.4684064778746,615.0930961039828,0.5210079718139102,manual
angle_225_dist_75,island,294.6246896261082,615.0930961039828,0.4789920281860898,manual
angle_247.5_dist_100,bulrush,106.47270648317084,860.2364060372354,0.123771449029515,manual
angle_247.5_dist_100,hordeum,249.8910359899838,860.2364060372354,0.2904911187624943,manual
